pair_id,rank_orig,x,y,scale,theta,ncc,siamese,fused_orig,b_score,a_score,s_score,comb_score,is_gt,dist_gt
pair_001,1,656.5,365.5,9.0,-1.0,0.9721834063529968,0.841139018535614,0.9066612124443054,1.0,0.09498243058662129,1.0101623733597536,1.326673935897605,True,0.7071067811865476
pair_001,2,656.5,365.5,9.0,0.0,0.970215767621994,0.841139018535614,0.905677393078804,1.0,0.09498243058662129,1.0101623733597536,1.3256901165321036,True,0.7071067811865476
pair_001,3,655.5,366.5,9.0,-1.5,0.9626058042049408,0.841139018535614,0.9018724113702774,1.0,0.09498243058662129,1.0101623733597536,1.321885134823577,True,0.7071067811865476
pair_001,4,656.0,366.0,8.75,-1.0,0.9612275660037994,0.841139018535614,0.9011832922697067,1.0,0.09498243058662129,1.0101623733597536,1.3211960157230063,True,0.0
pair_001,5,656.0,366.0,8.75,0.0,0.9599312841892242,0.841139018535614,0.9005351513624191,1.0,0.09498243058662129,1.0101623733597536,1.3205478748157187,True,0.0
pair_002,1,686.5,352.5,9.75,4.0,0.9698085486888885,0.9782124757766724,0.9740105122327805,0.9803921568627451,0.07142584459563303,0.9334890534497545,1.3757622335557058,True,0.7071067811865476
pair_002,2,686.5,352.5,9.75,3.5,0.9653345942497253,0.9782124757766724,0.9717735350131989,0.9803921568627451,0.07142584459563303,0.9334890534497545,1.3735252563361242,True,0.7071067811865476
pair_002,3,686.5,352.5,9.75,5.0,0.959475189447403,0.9782124757766724,0.9688438326120377,0.9803921568627451,0.07142584459563303,0.9334890534497545,1.370595553934963,True,0.7071067811865476
pair_002,4,687.0,353.0,10.0,4.0,0.9660211205482483,0.9660556316375732,0.9660383760929108,1.0,0.07030564457837361,0.9457637152176763,1.374675876530353,True,1.4142135623730951
pair_002,5,687.0,353.0,10.0,3.5,0.96092289686203,0.9660556316375732,0.9634892642498016,1.0,0.07030564457837361,0.9457637152176763,1.372126764687244,True,1.4142135623730951
pair_003,1,261.0,528.0,10.0,0.0,0.8973671495914459,0.8763070106506348,0.8868370801210403,0.9803921568627451,0.001878087194450844,1.0065984127735519,1.2819901858961091,False,210.0
pair_003,2,261.0,528.0,10.0,-1.0,0.789717823266983,0.8763070106506348,0.8330124169588089,0.9803921568627451,0.001878087194450844,1.0065984127735519,1.2281655227338777,False,210.0
pair_003,3,261.0,528.0,10.0,1.0,0.7895169854164124,0.8763070106506348,0.8329119980335236,0.9803921568627451,0.001878087194450844,1.0065984127735519,1.2280651038085924,False,210.0
pair_003,4,261.0,528.0,10.25,0.0,0.7569007873535156,0.8763070106506348,0.8166038990020752,0.9803921568627451,0.001878087194450844,1.0065984127735519,1.211757004777144,False,210.0
pair_003,5,331.0,528.0,10.25,-1.0,0.7452612519264221,0.8763070106506348,0.8107841312885284,0.9803921568627451,0.0025731329955624082,1.0065984127735519,1.2060762462238195,False,140.0
pair_004,1,376.0,737.0,10.0,0.0,0.8499699532985687,0.8887873888015747,0.8693786710500717,0.9803921568627451,0.01721456190720388,0.9235456821027338,1.2592937987006092,False,70.0
pair_004,2,375.5,667.5,10.75,-1.0,0.9276000261306763,0.7750436067581177,0.851321816444397,0.9727626463656123,0.011715630679595048,0.9945045617849575,1.2449441926684954,True,0.7071067811865476
pair_004,3,375.5,667.5,10.75,-1.5,0.91019406914711,0.7750436067581177,0.8426188379526138,0.9727626463656123,0.011715630679595048,0.9945045617849575,1.2362412141767123,True,0.7071067811865476
pair_004,4,376.0,667.0,10.25,-1.0,0.8954754173755646,0.7894654870033264,0.8424704521894455,0.9727626463656123,0.011597206974678968,0.987080186043684,1.2353267060984336,True,0.0
